movieId,title,genres
138022,Man in the Mirror: The Michael Jackson Story (2004),Documentary|Drama
138024,"Michael Jackson: Dangerous Tour (Bucharest, 1992) (1992)",(no genres listed)
138026,Michael Jackson: Number Ones (2003),(no genres listed)
138028,Tsumugi (2004),Drama|Romance
138030,The Chinese Mayor (2015),Documentary|Drama
138032,Hunger (1974),Animation
138034,The Border (2007),Drama
138036,The Man from U.N.C.L.E. (2015),Action|Adventure|Comedy
138038,The Widowmaker (2015),Documentary
138042,The Ritual,(no genres listed)
138044,Reuniting the Rubins (2012),Children|Comedy|Drama
138048,The Demon's Rook (2013),Horror
138050,Death of a Prophet (1981),Documentary
138054,Van Nuys Blvd. (1979),Comedy|Drama
138056,Expecting (2013),Comedy|Drama
138058,Lovespell (1981),(no genres listed)
138060,Tropical Snow (1988),Drama
138062,Servants of Twilight (1991),Horror|Thriller
138066,Last Day of Summer (2009),Comedy|Drama
138070,Deserter (2002),Drama|War
138072,Live at the Foxes Den (2013),Drama
138074,Pulsar (2011),Drama|Mystery|Romance|Thriller
138076,Diary of a Tired Black Man (2009),Comedy|Drama|Romance
138078,Away From Here (2014),Drama
138084,The Opponent (2001),Action|Drama
138086,The Kitchen (2012),Comedy|Drama
138088,Probable Cause (1994),Action|Crime|Drama
138090,House of the Sleeping Beauties (2006),Drama|Thriller
138094,Children of the Grave (2007),Documentary
138096,Random Encounters (2013),Comedy
138098,River's End (2005),(no genres listed)
138100,Home Town Story (1951),Comedy|Drama|Romance
138102,Pinprick (2009),Drama|Thriller
138104,Justice League: Gods and Monsters (2015),Action|Animation
138106,Savage Sisters (1974),Action|Crime
138108,Her Fatal Flaw (2006),Crime|Drama|Mystery|Thriller
138110,186 Dollars to Freedom (2012),Action|Drama
138112,Angel and the Badman (2009),Action|Western
138114,Stephanie's Image (2009),(no genres listed)
138118,Call Me (1988),Drama|Thriller
138120,The Expedition,(no genres listed)
138122,Cinemanovels (2013),Comedy|Drama|Romance
138124,Till the End of the Night (1994),Thriller
138128,Enigma (2009),Sci-Fi
138130,The Sister-in-Law (1974),Drama
138132,Kill Cruise (1990),Adventure|Drama|Thriller
138136,Dominique (1979),Drama|Mystery|Thriller
138138,Loveless in Los Angeles (2007),Comedy|Romance
138140,Fetish (2008),(no genres listed)
138142,Friended to Death (2014),Comedy
138146,Wicked Ways (1999),Drama|Thriller
138148,The Haunting of Lisa (1996),Drama|Thriller
138150,The Insurgents (2007),Drama|Thriller
138152,Carver (2008),Horror
138154,Stalled (2013),Comedy|Horror
138156,Black Circle Boys (1997),Horror
138160,Crackie (2009),Drama
138162,The Teacher (1974),Crime|Thriller
138166,Invader (1997),Romance|Sci-Fi
138168,The Chateau Meroux (2011),Comedy|Drama|Romance
138170,The Big Ask (2014),Comedy|Drama
138172,Baseline (2010),Action|Crime|Drama
138174,The Creepy Doll (2011),Horror|Thriller
138180,All Eyes And Ears (2015),(no genres listed)
138184,Treehouse (2014),Horror|Mystery|Thriller
138186,Sorrow (2015),Crime|Drama|Horror
138188,Roxie (2014),(no genres listed)
138190,The Shift (2013),Drama
138192,The Livingston Gardener (2015),(no genres listed)
138196,Pretty Rosebud (2014),(no genres listed)
138198,Greg Fitzsimmons: Life on Stage (2013),(no genres listed)
138200,Nothing Bad Can Happen (2013),Drama
138202,Burying the Ex (2015),Comedy|Horror
138204,7 Days in Hell (2015),Comedy
138206,Echoes of War (2015),Drama|Thriller|Western
138208,The Walk (2015),Adventure|Drama|Thriller
138210,13 Hours (2016),Drama
138212,Spectral (2016),(no genres listed)
138214,French Women (2014),Comedy
138216,Mondo Candido (1975),Adventure|Comedy
138218,Meet Him And Die (1976),(no genres listed)
138220,Hired Killer (1966),Crime|Thriller
138222,Station to Station (2014),Drama
138224,East Wind (Vent d'Est) (1993),Drama
138226,Monk With a Camera (2014),Documentary
138228,The Town That Was (2007),(no genres listed)
138230,Staten Island Summer (2015),Comedy
138232,Aalavandhan (2001),Thriller
138234,Augustine (2012),Drama
138236,Battle of the Coral Sea (1959),War
138240,Haunts (1977),Horror
138242,Out of Bounds (2003),Romance|Thriller
138246,Deathwork (1971),Action
138248,Calendar Girl Murders (1984),Crime
138250,Mysteries (1978),Drama|Mystery
138254,Cold Feet (1989),Action|Comedy
138256,X's & O's (2007),Comedy|Drama|Romance
138258,Nasty Baby (2015),Drama
138260,Bad Night (2015),Adventure
138262,Maria My Love (2012),Drama
138264,The Disturbance at Dinner (1998),Comedy|Romance
138266,The Perfect Getaway (1998),(no genres listed)
138268,Breaking the Silence (1992),Drama
138270,Born to Be Sold (1981),Thriller
138272,The Killing of Jacob Marr (2010),Horror
138274,Love/Loss (2010),Children|Drama|Romance
138280,Plato's Reality Machine (2013),Comedy|Drama|Sci-Fi
138286,This Is Not an Exit: The Fictional World of Bret Easton Ellis (1998),Documentary
138288,Double Edge (1992),Drama|Thriller
138290,Paparazzi (1998),Comedy
138292,Bonds of Love (1993),Drama|Romance
138294,"Thelma, Louise et Chantal (2010)",(no genres listed)
138298,Bar Sport (2011),Children|Comedy
138300,Welcome to the North (2012),Comedy
138304,Come Dio comanda (2008),Drama
138308,Giulia Doesn't Date at Night (2009),Drama|Thriller
138310,Unlikely Revolutionaries (2010),(no genres listed)
138312,Flowerman (2014),Drama|Romance|Thriller
138314,The Commander and the Stork (2012),(no genres listed)
138318,The Worst Christmas of My Life (2012),Comedy
138320,Il primo incarico (2011),Drama
138322,Il rosso e il blu (2012),(no genres listed)
138326,Italians (2009),Comedy
138328,The Last Man on Earth (2011),Drama|Sci-Fi
138334,La peggior settimana della mia vita (2011),Comedy
138338,Lezioni di cioccolato (2007),Comedy
138340,The White Space (2009),(no genres listed)
138342,What Girls Learn (2001),Drama
138344,Men Vs Women (2010),Comedy
138346,Escort in love (2011),Comedy|Drama
138350,Tous les soleils (2011),Comedy
138352,Locke & Key (2011),Adventure|Drama|Horror|Thriller
138356,A Matter of Heart (2009),Comedy|Drama
138358,Saimir's decision (2004),(no genres listed)
138360,Sorelle Mai (2011),Drama
138362,A Special Day (2012),Drama
138366,A Quiet Life (2010),Drama
138368,The Landlords (2012),Drama
138370,Every Blessed Day (2012),Comedy
138376,Gli equilibristi (2012),Drama
138380,The Santa Claus Gang (2010),Comedy
138388,Crazy Me (2013),Comedy
138396,There Will Come a Day (2013),Comedy|Drama
138398,Tutto parla di te (2012),(no genres listed)
